J604_1.RCP 84 [1, 4, 2, 3, 13, 6, 5, 14, 21, 32, 7, 47, 8, 9, 11, 12, 10, 28, 16, 29, 19, 30, 33, 49, 31, 42, 25, 18, 15, 40, 24, 23, 27, 35, 36, 20, 37, 56, 50, 53, 17, 26, 41, 45, 44, 34, 57, 22, 48, 43, 38, 58, 54, 46, 55, 39, 61, 51, 52, 59, 60, 62]
J604_10.RCP 77 [1, 4, 2, 16, 6, 3, 15, 33, 10, 5, 8, 30, 12, 22, 9, 14, 27, 24, 13, 21, 31, 19, 35, 42, 32, 11, 51, 26, 25, 37, 34, 20, 41, 38, 39, 36, 18, 44, 45, 53, 55, 46, 7, 17, 23, 40, 28, 56, 48, 47, 49, 50, 52, 54, 29, 57, 43, 58, 61, 60, 59, 62]
J604_2.RCP 60 [1, 3, 4, 5, 6, 2, 12, 7, 27, 13, 16, 11, 8, 14, 10, 21, 28, 15, 20, 19, 51, 25, 26, 17, 24, 31, 34, 32, 36, 33, 9, 37, 35, 41, 52, 44, 18, 50, 46, 38, 30, 43, 22, 39, 29, 42, 23, 53, 47, 54, 48, 45, 40, 49, 57, 58, 61, 56, 55, 60, 59, 62]
J604_3.RCP 58 [1, 2, 3, 5, 13, 8, 10, 20, 17, 19, 7, 12, 11, 38, 9, 6, 16, 49, 21, 24, 23, 33, 30, 22, 18, 4, 35, 32, 14, 26, 15, 27, 34, 45, 28, 42, 25, 39, 29, 52, 40, 47, 48, 36, 46, 41, 37, 44, 31, 53, 56, 43, 54, 51, 50, 57, 55, 59, 58, 60, 61, 62]
J604_4.RCP 65 [1, 2, 3, 8, 5, 4, 13, 7, 10, 6, 11, 36, 30, 17, 22, 33, 9, 21, 14, 12, 23, 27, 15, 38, 34, 25, 24, 43, 28, 51, 35, 19, 18, 40, 16, 39, 37, 31, 29, 20, 47, 46, 42, 26, 32, 41, 48, 44, 52, 56, 49, 45, 53, 57, 50, 55, 60, 54, 58, 59, 61, 62]
J604_5.RCP 75 [1, 4, 2, 3, 5, 6, 16, 7, 23, 35, 9, 12, 10, 8, 13, 14, 11, 29, 27, 30, 17, 32, 25, 18, 36, 15, 38, 43, 19, 26, 20, 44, 34, 28, 41, 51, 21, 40, 55, 46, 37, 31, 53, 49, 22, 50, 47, 24, 56, 45, 39, 42, 54, 48, 52, 58, 33, 57, 61, 59, 60, 62]
J604_6.RCP 71 [1, 3, 2, 11, 27, 6, 4, 5, 12, 19, 8, 17, 30, 7, 18, 14, 31, 34, 13, 28, 15, 36, 22, 20, 49, 24, 16, 38, 23, 41, 45, 52, 32, 33, 35, 39, 10, 25, 42, 21, 26, 50, 40, 29, 55, 37, 47, 57, 53, 48, 43, 9, 58, 51, 46, 61, 44, 54, 56, 60, 59, 62]
J604_7.RCP 67 [1, 2, 3, 4, 13, 8, 29, 19, 16, 5, 20, 23, 6, 10, 7, 24, 12, 22, 9, 34, 33, 14, 26, 21, 31, 32, 18, 45, 50, 37, 30, 35, 15, 38, 17, 48, 36, 27, 39, 41, 55, 51, 49, 28, 52, 11, 54, 42, 47, 44, 40, 25, 58, 57, 43, 46, 53, 60, 56, 59, 61, 62]
J604_8.RCP 65 [1, 3, 4, 5, 6, 14, 9, 32, 8, 19, 29, 10, 18, 23, 22, 17, 12, 34, 13, 2, 7, 28, 38, 21, 27, 40, 33, 37, 35, 16, 36, 15, 24, 50, 26, 20, 41, 31, 48, 46, 49, 11, 47, 51, 30, 43, 53, 42, 39, 25, 45, 52, 56, 54, 55, 44, 58, 57, 61, 60, 59, 62]
J604_9.RCP 75 [1, 4, 3, 20, 2, 35, 8, 5, 7, 14, 32, 15, 6, 16, 10, 28, 11, 24, 9, 30, 22, 13, 38, 50, 17, 19, 23, 40, 26, 27, 43, 21, 36, 44, 39, 47, 29, 33, 54, 52, 48, 51, 25, 34, 45, 31, 12, 42, 41, 18, 46, 55, 53, 37, 57, 49, 60, 56, 58, 59, 61, 62]
J605_1.RCP 80 [1, 2, 4, 6, 16, 5, 3, 10, 13, 11, 35, 12, 7, 36, 17, 15, 23, 9, 8, 21, 31, 44, 24, 26, 14, 19, 33, 22, 30, 29, 20, 37, 46, 41, 18, 25, 38, 40, 28, 39, 43, 51, 54, 27, 32, 48, 47, 49, 52, 50, 34, 58, 55, 53, 56, 42, 45, 57, 60, 59, 61, 62]
J605_10.RCP 89 [1, 4, 3, 2, 11, 5, 20, 9, 7, 17, 13, 35, 8, 18, 28, 37, 31, 48, 16, 34, 10, 22, 15, 14, 12, 25, 38, 33, 44, 19, 26, 39, 21, 29, 55, 6, 30, 32, 42, 45, 47, 43, 24, 40, 46, 50, 36, 49, 54, 23, 51, 58, 27, 52, 53, 56, 61, 41, 57, 60, 59, 62]
